date,predicted_buy_hour,predicted_sell_hour,true_buy_hour,true_sell_hour,predicted_profit,true_profit
2024-05-17 04:00:00,21,0,11,21,10.906426429748535,34.769999999999996
2024-05-18 04:00:00,16,0,22,20,5.138933181762695,74.49
2024-05-19 04:00:00,19,0,15,20,58.27203845977783,66.99000000000001
2024-05-20 04:00:00,18,8,13,20,46.44478225708008,61.49
2024-05-21 04:00:00,2,4,15,6,5.217111587524414,52.14
2024-05-22 04:00:00,18,10,13,20,33.27556324005127,36.510000000000005
2024-05-23 04:00:00,15,0,12,16,43.73289108276367,161.92999999999998
2024-05-24 04:00:00,21,1,16,21,25.47039031982422,189.92999999999998
2024-05-25 04:00:00,13,19,9,22,6.5549163818359375,123.94999999999999
2024-05-26 04:00:00,9,1,8,21,10.340163707733154,27.359999999999996
2024-05-27 04:00:00,11,0,0,18,9.968012809753418,79.7
2024-05-28 04:00:00,5,13,0,13,16.543123245239258,42.92
2024-05-29 04:00:00,16,0,10,6,7.579781770706177,25.33
2024-05-30 04:00:00,20,0,15,20,15.040619194507599,72.73
2024-05-31 04:00:00,19,0,3,20,16.230348587036133,287.35
2024-06-01 04:00:00,6,0,2,21,17.399407863616943,356.15000000000003
2024-06-02 04:00:00,6,0,2,18,30.51331901550293,71.96
2024-06-03 04:00:00,0,11,19,6,5.143607139587402,34.15
2024-06-04 04:00:00,13,0,23,20,3.1177992820739746,61.08
2024-06-05 04:00:00,4,0,0,21,34.08351516723633,44.23
2024-06-06 04:00:00,6,0,1,18,7.919774055480957,34.550000000000004
2024-06-07 04:00:00,19,0,15,20,22.19428539276123,146.14
2024-06-08 04:00:00,18,3,14,0,157.45107793807983,442.78000000000003
2024-06-09 04:00:00,19,5,17,0,43.706159591674805,188.75
2024-06-10 04:00:00,23,6,0,5,4.117679595947266,37.19
2024-06-11 04:00:00,0,11,18,15,7.847641468048096,50.599999999999994
2024-06-12 04:00:00,20,11,1,22,7.434129357337952,116.86000000000001
2024-06-13 04:00:00,8,0,3,18,5.945066452026367,189.89000000000001
2024-06-14 04:00:00,22,2,2,21,3.24600887298584,23.3
2024-06-15 04:00:00,15,11,14,12,1.9850292205810547,27.04
2024-06-16 04:00:00,6,0,0,20,26.914132118225098,27.27
2024-06-17 04:00:00,19,0,2,19,20.945152282714844,61.8
2024-06-18 04:00:00,7,0,0,9,33.41011619567871,195.62
2024-06-19 04:00:00,12,0,8,20,10.85939884185791,59.38000000000001
2024-06-20 04:00:00,11,0,17,20,6.790163040161133,173.25
2024-06-21 04:00:00,0,17,19,21,7.868246078491211,77.74
2024-06-22 04:00:00,9,22,6,19,8.242908477783203,86.35
2024-06-23 04:00:00,19,0,14,8,11.546734809875488,53.72
2024-06-24 04:00:00,3,12,22,16,13.545258522033691,113.02
2024-06-25 04:00:00,9,21,3,19,56.206443786621094,769.86
2024-06-26 04:00:00,20,0,2,15,12.20602798461914,260.81
2024-06-27 04:00:00,0,12,20,7,11.94090461730957,15.8
2024-06-28 04:00:00,7,22,23,19,2.8733901977539062,78.0
2024-06-29 04:00:00,12,0,6,21,8.992427349090576,24.770000000000003
2024-06-30 04:00:00,9,15,1,16,14.858509540557861,27.630000000000003
2024-07-01 04:00:00,16,0,12,19,29.151366233825684,34.71
2024-07-02 04:00:00,8,0,4,19,25.261184692382812,195.31
2024-07-03 04:00:00,6,2,17,22,25.783188819885254,35.5
2024-07-04 04:00:00,7,14,1,19,12.493133544921875,277.65
2024-07-05 04:00:00,8,0,2,19,122.27496862411499,132.26999999999998
2024-07-06 04:00:00,10,0,6,19,759.5316395759583,537.6899999999999
2024-07-07 04:00:00,5,0,8,21,101.6577672958374,386.94
2024-07-08 04:00:00,6,16,0,19,145.06307983398438,986.15
2024-07-09 04:00:00,5,18,7,13,518.4903678894043,798.56
2024-07-10 04:00:00,5,21,23,18,796.0432863235474,994.1800000000001
2024-07-11 04:00:00,8,20,0,17,56.64972496032715,250.17999999999998
2024-07-12 04:00:00,9,0,2,17,35.709527015686035,71.45
2024-07-13 04:00:00,7,2,14,9,11.425344944000244,21.62
2024-07-14 04:00:00,15,0,10,20,15.773021697998047,17.31
2024-07-15 04:00:00,7,23,4,20,13.791213989257812,323.14
2024-07-16 04:00:00,8,0,2,18,668.0320930480957,838.4399999999999
2024-07-17 04:00:00,3,18,1,16,223.5560483932495,938.02
2024-07-18 04:00:00,6,20,0,16,830.6933908462524,890.6999999999999
2024-07-19 04:00:00,8,19,6,15,361.99386978149414,432.04
2024-07-20 04:00:00,11,21,7,17,217.25643920898438,337.03
2024-07-21 04:00:00,12,0,6,16,101.40190505981445,239.09
2024-07-22 04:00:00,3,17,1,15,16.437326431274414,303.01
2024-07-23 04:00:00,7,23,3,19,62.869407653808594,831.9399999999999
2024-07-24 04:00:00,8,0,22,6,17.788270950317383,85.72
2024-07-25 04:00:00,21,2,14,21,25.57968294620514,43.37
2024-07-26 04:00:00,11,0,0,21,12.879668831825256,22.98
2024-07-27 04:00:00,10,0,5,20,21.735721588134766,48.73
2024-07-28 04:00:00,8,0,7,19,65.99372291564941,82.74
2024-07-29 04:00:00,5,21,3,7,21.401466369628906,27.71
2024-07-30 04:00:00,4,0,21,19,8.603355407714844,98.1
2024-07-31 04:00:00,6,13,3,9,17.209428787231445,32.73
2024-08-01 04:00:00,4,22,0,19,37.19960689544678,811.78
2024-08-02 04:00:00,12,20,8,17,28.181779861450195,160.41
2024-08-03 04:00:00,22,14,18,23,13.367614030838013,102.07
2024-08-04 04:00:00,1,20,20,3,6.1687750816345215,217.72
2024-08-05 04:00:00,15,4,21,5,3.368313789367676,20.610000000000003
2024-08-06 04:00:00,23,10,23,19,2.0308799743652344,93.65
2024-08-07 04:00:00,18,14,14,21,3.2928590774536133,23.770000000000003
2024-08-08 04:00:00,13,18,8,14,20.6318359375,33.84
2024-08-09 04:00:00,7,0,0,18,8.43104362487793,48.57
2024-08-10 04:00:00,5,20,2,16,33.95496869087219,71.46000000000001
2024-08-11 04:00:00,23,0,23,17,14.471416473388672,566.5500000000001
2024-08-12 04:00:00,15,0,22,13,3.9765796661376953,17.389999999999997
2024-08-13 04:00:00,7,0,4,18,9.851696014404297,262.94
2024-08-14 04:00:00,8,1,4,20,9.757766723632812,81.55
2024-08-15 04:00:00,0,17,20,21,2.3116846084594727,53.47
2024-08-16 04:00:00,6,14,22,18,4.092053413391113,117.89
2024-08-17 04:00:00,12,4,7,20,11.198391914367676,25.119999999999997
2024-08-18 04:00:00,9,13,8,21,2.9691600799560547,25.44
2024-08-19 04:00:00,10,19,2,15,21.252212524414062,225.77999999999997
2024-08-20 04:00:00,3,14,2,19,23.683913230895996,154.51
2024-08-21 04:00:00,21,0,17,20,13.907130241394043,134.22
2024-08-22 04:00:00,11,0,0,18,4.679401397705078,181.15
2024-08-23 04:00:00,5,13,1,17,22.687393188476562,35.25
2024-08-24 04:00:00,7,3,2,21,56.41304016113281,69.57
2024-08-25 04:00:00,18,8,21,19,2.6529693603515625,45.51
2024-08-26 04:00:00,9,20,4,18,5.938607215881348,32.2
2024-08-27 04:00:00,8,0,4,17,13.159710168838501,22.62
2024-08-28 04:00:00,5,20,21,16,4.238482475280762,194.64000000000001
2024-08-29 04:00:00,8,0,4,18,9.064965963363647,332.32
2024-08-30 04:00:00,19,9,16,5,17.426239013671875,53.15
2024-08-31 04:00:00,6,0,1,18,13.43232250213623,101.52
2024-09-01 04:00:00,7,0,5,17,57.909027099609375,966.38
2024-09-02 04:00:00,12,0,5,16,269.55515480041504,885.75
2024-09-03 04:00:00,5,1,2,19,11.257779121398926,396.01
2024-09-04 04:00:00,7,23,3,17,40.660460472106934,66.83
2024-09-05 04:00:00,8,0,5,18,28.996408462524414,940.5899999999999
2024-09-06 04:00:00,6,19,1,17,23.933547973632812,371.8
2024-09-07 04:00:00,12,11,0,18,11.77239990234375,615.46
2024-09-08 04:00:00,6,21,8,18,99.54208278656006,158.69
2024-09-09 04:00:00,1,0,2,21,0.17439739406108856,37.96
2024-09-10 04:00:00,5,23,1,6,13.975221157073975,77.71
2024-09-11 04:00:00,20,0,22,19,4.7842817306518555,31.49
2024-09-12 04:00:00,21,9,14,6,4.228170871734619,63.620000000000005
2024-09-13 04:00:00,0,0,22,19,0.0,194.0
2024-09-14 04:00:00,14,6,16,10,2.2348690032958984,26.01
2024-09-15 04:00:00,15,7,9,18,14.642295837402344,48.98
2024-09-16 04:00:00,13,1,10,17,15.722686767578125,261.53000000000003
2024-09-17 04:00:00,0,9,14,17,2.781648635864258,18.03
2024-09-18 04:00:00,18,1,14,0,11.109679520130157,464.73
2024-09-19 04:00:00,15,0,10,19,4.920682907104492,66.74
2024-09-20 04:00:00,21,0,14,8,8.465749144554138,136.69
2024-09-21 04:00:00,0,12,20,14,5.567722797393799,19.41
2024-09-22 04:00:00,2,21,21,17,18.626752853393555,213.93
2024-09-23 04:00:00,19,21,10,18,2.7558940947055817,133.45
2024-09-24 04:00:00,3,21,23,16,20.753979682922363,595.52
2024-09-25 04:00:00,15,0,3,6,1.245783805847168,12.95
2024-09-26 04:00:00,0,0,21,18,0.0,30.16
2024-09-27 04:00:00,17,1,21,20,0.37181878089904785,11.72
2024-09-28 04:00:00,15,0,8,23,5.54001522064209,118.35000000000001
2024-09-29 04:00:00,1,0,23,21,0.3002866208553314,13.73
2024-09-30 04:00:00,2,11,22,18,11.251997947692871,190.78
2024-10-01 04:00:00,19,8,21,18,0.8449563980102539,19.16
2024-10-02 04:00:00,2,10,22,17,41.63399124145508,752.93
2024-10-03 04:00:00,7,0,2,17,11.924161434173584,98.2
2024-10-04 04:00:00,0,7,9,16,0.43828850984573364,24.63
2024-10-05 04:00:00,16,0,0,18,3.793652057647705,28.11
2024-10-06 04:00:00,4,11,22,17,12.951054573059082,331.84
2024-10-07 04:00:00,17,9,9,17,7.012402534484863,186.3
2024-10-08 04:00:00,0,9,20,6,7.476966857910156,25.99
2024-10-09 04:00:00,22,11,21,7,16.713233947753906,481.79
2024-10-10 04:00:00,7,0,4,17,15.39681339263916,369.32
2024-10-11 04:00:00,11,2,7,22,21.866466522216797,93.58000000000001
2024-10-12 04:00:00,18,0,13,4,47.53728103637695,133.1
2024-10-13 04:00:00,15,1,9,22,15.363879203796387,34.23
2024-10-14 04:00:00,23,9,23,16,3.063060760498047,13.370000000000001
2024-10-15 04:00:00,2,20,0,17,916.3622922897339,986.52
2024-10-16 04:00:00,2,7,15,6,4.532965660095215,139.04000000000002
2024-10-17 04:00:00,21,0,0,19,7.671241760253906,103.19
2024-10-18 04:00:00,0,15,14,7,4.697638511657715,72.22
2024-10-19 04:00:00,0,15,21,11,14.505194664001465,15.57
2024-10-20 04:00:00,0,12,21,6,20.443235397338867,272.04
2024-10-21 04:00:00,10,0,21,20,2.371898651123047,100.0
2024-10-22 04:00:00,15,21,14,6,20.28668212890625,982.12
2024-10-23 04:00:00,5,0,3,20,8.950590133666992,91.07
2024-10-24 04:00:00,15,10,12,6,6.663795471191406,72.22
2024-10-25 04:00:00,2,13,19,7,10.577878952026367,291.44
2024-10-26 04:00:00,15,0,3,18,11.748796463012695,65.31
2024-10-27 04:00:00,14,2,10,23,6.343695163726807,30.88
2024-10-28 04:00:00,13,0,22,15,27.193225860595703,395.07
2024-10-29 04:00:00,0,12,19,7,46.373504638671875,982.2
2024-10-30 04:00:00,6,0,1,17,10.792183876037598,28.68
2024-10-31 04:00:00,14,0,4,8,8.818517684936523,63.64
2024-11-01 04:00:00,3,18,4,16,15.295856475830078,173.01999999999998
2024-11-02 04:00:00,1,15,20,11,20.8274564743042,569.13
2024-11-03 04:00:00,20,10,15,8,5.980997562408447,267.87
2024-11-04 04:00:00,23,10,3,7,3.262258529663086,58.81
2024-11-05 04:00:00,22,1,8,2,3.108880043029785,19.28
2024-11-06 04:00:00,14,1,6,2,13.125179290771484,107.35000000000001
2024-11-07 04:00:00,5,18,1,16,26.77305793762207,323.61
2024-11-08 04:00:00,11,19,4,17,12.027844429016113,20.83
2024-11-09 04:00:00,6,15,1,12,87.40911996364594,293.16
2024-11-10 04:00:00,0,19,20,23,16.4434871673584,96.14
2024-11-11 04:00:00,0,14,22,11,15.56964111328125,22.26
2024-11-12 04:00:00,0,21,21,17,6.0746166706085205,25.2
